src,dst
ABCA1,R-HSA-5619084|ABC transporter disorders
ABCB11,R-HSA-5619084|ABC transporter disorders
ABCB6,R-HSA-5619084|ABC transporter disorders
ABCC2,R-HSA-5619084|ABC transporter disorders
ABCD1,R-HSA-5619084|ABC transporter disorders
ADRM1,R-HSA-5619084|ABC transporter disorders
DERL2,R-HSA-5619084|ABC transporter disorders
DERL3,R-HSA-5619084|ABC transporter disorders
OS9,R-HSA-5619084|ABC transporter disorders
PSMC1,R-HSA-5619084|ABC transporter disorders
PSMC2,R-HSA-5619084|ABC transporter disorders
PSMD11,R-HSA-5619084|ABC transporter disorders
PSMD12,R-HSA-5619084|ABC transporter disorders
PSMD14,R-HSA-5619084|ABC transporter disorders
RPS27A,R-HSA-5619084|ABC transporter disorders
SEL1L,R-HSA-5619084|ABC transporter disorders
UBC,R-HSA-5619084|ABC transporter disorders
VCP,R-HSA-5619084|ABC transporter disorders
ABCB6,R-HSA-382556|ABC-family proteins mediated transport
ABCC2,R-HSA-382556|ABC-family proteins mediated transport
ABCC3,R-HSA-382556|ABC-family proteins mediated transport
ABCC4,R-HSA-382556|ABC-family proteins mediated transport
ABCD1,R-HSA-382556|ABC-family proteins mediated transport
ADRM1,R-HSA-382556|ABC-family proteins mediated transport
DERL2,R-HSA-382556|ABC-family proteins mediated transport
DERL3,R-HSA-382556|ABC-family proteins mediated transport
EIF2S1,R-HSA-382556|ABC-family proteins mediated transport
EIF2S3,R-HSA-382556|ABC-family proteins mediated transport
OS9,R-HSA-382556|ABC-family proteins mediated transport
PSMC1,R-HSA-382556|ABC-family proteins mediated transport
PSMC2,R-HSA-382556|ABC-family proteins mediated transport
PSMD11,R-HSA-382556|ABC-family proteins mediated transport
PSMD12,R-HSA-382556|ABC-family proteins mediated transport
PSMD14,R-HSA-382556|ABC-family proteins mediated transport
RPS27A,R-HSA-382556|ABC-family proteins mediated transport
SEL1L,R-HSA-382556|ABC-family proteins mediated transport
UBC,R-HSA-382556|ABC-family proteins mediated transport
VCP,R-HSA-382556|ABC-family proteins mediated transport
ADCY1,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
ADCY3,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
ADCY4,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
ADCY6,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
CREB1,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
GNB3,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
GNG4,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
GNG8,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
PRKACB,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
PRKAR1A,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
PRKAR2B,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
PRKX,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
BIRC6,R-HSA-9700645|ALK mutants bind TKIs
EML4,R-HSA-9700645|ALK mutants bind TKIs
HIP1,R-HSA-9700645|ALK mutants bind TKIs
NPM1,R-HSA-9700645|ALK mutants bind TKIs
PRKAR1A,R-HSA-9700645|ALK mutants bind TKIs
STRN,R-HSA-9700645|ALK mutants bind TKIs
ADRM1,R-HSA-9931269|AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
DERL2,R-HSA-9931269|AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
DERL3,R-HSA-9931269|AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
OS9,R-HSA-9931269|AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
PSMC1,R-HSA-9931269|AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
PSMC2,R-HSA-9931269|AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
PSMD11,R-HSA-9931269|AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
PSMD12,R-HSA-9931269|AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
PSMD14,R-HSA-9931269|AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
RPS27A,R-HSA-9931269|AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
SEL1L,R-HSA-9931269|AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
UBC,R-HSA-9931269|AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
VCP,R-HSA-9931269|AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
ANAPC16,R-HSA-179409|APC-Cdc20 mediated degradation of Nek2A
BUB3,R-HSA-179409|APC-Cdc20 mediated degradation of Nek2A
CDC20,R-HSA-179409|APC-Cdc20 mediated degradation of Nek2A
MAD2L1,R-HSA-179409|APC-Cdc20 mediated degradation of Nek2A
NEK2,R-HSA-179409|APC-Cdc20 mediated degradation of Nek2A
RPS27A,R-HSA-179409|APC-Cdc20 mediated degradation of Nek2A
UBC,R-HSA-179409|APC-Cdc20 mediated degradation of Nek2A
UBE2S,R-HSA-179409|APC-Cdc20 mediated degradation of Nek2A
ADRM1,R-HSA-174143|APC/C-mediated degradation of cell cycle proteins
ANAPC16,R-HSA-174143|APC/C-mediated degradation of cell cycle proteins
AURKA,R-HSA-174143|APC/C-mediated degradation of cell cycle proteins
AURKB,R-HSA-174143|APC/C-mediated degradation of cell cycle proteins
BUB3,R-HSA-174143|APC/C-mediated degradation of cell cycle proteins
CCNA2,R-HSA-174143|APC/C-mediated degradation of cell cycle proteins
CCNB1,R-HSA-174143|APC/C-mediated degradation of cell cycle proteins
CDC20,R-HSA-174143|APC/C-mediated degradation of cell cycle proteins
CDK1,R-HSA-174143|APC/C-mediated degradation of cell cycle proteins
FBXO5,R-HSA-174143|APC/C-mediated degradation of cell cycle proteins
MAD2L1,R-HSA-174143|APC/C-mediated degradation of cell cycle proteins
NEK2,R-HSA-174143|APC/C-mediated degradation of cell cycle proteins
PLK1,R-HSA-174143|APC/C-mediated degradation of cell cycle proteins
PSMC1,R-HSA-174143|APC/C-mediated degradation of cell cycle proteins
PSMC2,R-HSA-174143|APC/C-mediated degradation of cell cycle proteins
PSMD11,R-HSA-174143|APC/C-mediated degradation of cell cycle proteins
PSMD12,R-HSA-174143|APC/C-mediated degradation of cell cycle proteins
PSMD14,R-HSA-174143|APC/C-mediated degradation of cell cycle proteins
PTTG1,R-HSA-174143|APC/C-mediated degradation of cell cycle proteins
RPS27A,R-HSA-174143|APC/C-mediated degradation of cell cycle proteins
UBC,R-HSA-174143|APC/C-mediated degradation of cell cycle proteins
UBE2S,R-HSA-174143|APC/C-mediated degradation of cell cycle proteins
ANAPC16,R-HSA-174048|APC/C:Cdc20 mediated degradation of Cyclin B
CCNB1,R-HSA-174048|APC/C:Cdc20 mediated degradation of Cyclin B
CDC20,R-HSA-174048|APC/C:Cdc20 mediated degradation of Cyclin B
CDK1,R-HSA-174048|APC/C:Cdc20 mediated degradation of Cyclin B
RPS27A,R-HSA-174048|APC/C:Cdc20 mediated degradation of Cyclin B
UBC,R-HSA-174048|APC/C:Cdc20 mediated degradation of Cyclin B
UBE2S,R-HSA-174048|APC/C:Cdc20 mediated degradation of Cyclin B
ADRM1,R-HSA-174154|APC/C:Cdc20 mediated degradation of Securin
ANAPC16,R-HSA-174154|APC/C:Cdc20 mediated degradation of Securin
CDC20,R-HSA-174154|APC/C:Cdc20 mediated degradation of Securin
PSMC1,R-HSA-174154|APC/C:Cdc20 mediated degradation of Securin
PSMC2,R-HSA-174154|APC/C:Cdc20 mediated degradation of Securin
PSMD11,R-HSA-174154|APC/C:Cdc20 mediated degradation of Securin
PSMD12,R-HSA-174154|APC/C:Cdc20 mediated degradation of Securin
PSMD14,R-HSA-174154|APC/C:Cdc20 mediated degradation of Securin
PTTG1,R-HSA-174154|APC/C:Cdc20 mediated degradation of Securin
RPS27A,R-HSA-174154|APC/C:Cdc20 mediated degradation of Securin
UBC,R-HSA-174154|APC/C:Cdc20 mediated degradation of Securin
UBE2S,R-HSA-174154|APC/C:Cdc20 mediated degradation of Securin
ADRM1,R-HSA-176409|APC/C:Cdc20 mediated degradation of mitotic proteins
ANAPC16,R-HSA-176409|APC/C:Cdc20 mediated degradation of mitotic proteins
BUB3,R-HSA-176409|APC/C:Cdc20 mediated degradation of mitotic proteins
CCNA2,R-HSA-176409|APC/C:Cdc20 mediated degradation of mitotic proteins
CCNB1,R-HSA-176409|APC/C:Cdc20 mediated degradation of mitotic proteins
CDC20,R-HSA-176409|APC/C:Cdc20 mediated degradation of mitotic proteins
CDK1,R-HSA-176409|APC/C:Cdc20 mediated degradation of mitotic proteins
MAD2L1,R-HSA-176409|APC/C:Cdc20 mediated degradation of mitotic proteins
NEK2,R-HSA-176409|APC/C:Cdc20 mediated degradation of mitotic proteins
PSMC1,R-HSA-176409|APC/C:Cdc20 mediated degradation of mitotic proteins
PSMC2,R-HSA-176409|APC/C:Cdc20 mediated degradation of mitotic proteins
PSMD11,R-HSA-176409|APC/C:Cdc20 mediated degradation of mitotic proteins
PSMD12,R-HSA-176409|APC/C:Cdc20 mediated degradation of mitotic proteins
PSMD14,R-HSA-176409|APC/C:Cdc20 mediated degradation of mitotic proteins
PTTG1,R-HSA-176409|APC/C:Cdc20 mediated degradation of mitotic proteins
RPS27A,R-HSA-176409|APC/C:Cdc20 mediated degradation of mitotic proteins
UBC,R-HSA-176409|APC/C:Cdc20 mediated degradation of mitotic proteins
UBE2S,R-HSA-176409|APC/C:Cdc20 mediated degradation of mitotic proteins
ADRM1,R-HSA-174178|APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
ANAPC16,R-HSA-174178|APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
AURKA,R-HSA-174178|APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
AURKB,R-HSA-174178|APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
CDC20,R-HSA-174178|APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
PLK1,R-HSA-174178|APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
PSMC1,R-HSA-174178|APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
PSMC2,R-HSA-174178|APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
PSMD11,R-HSA-174178|APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
PSMD12,R-HSA-174178|APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
PSMD14,R-HSA-174178|APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
PTTG1,R-HSA-174178|APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
RPS27A,R-HSA-174178|APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
UBC,R-HSA-174178|APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
UBE2S,R-HSA-174178|APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
ADRM1,R-HSA-179419|APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
ANAPC16,R-HSA-179419|APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
BUB3,R-HSA-179419|APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
CCNA2,R-HSA-179419|APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
CDC20,R-HSA-179419|APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
CDK1,R-HSA-179419|APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
MAD2L1,R-HSA-179419|APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
NEK2,R-HSA-179419|APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
PSMC1,R-HSA-179419|APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
PSMC2,R-HSA-179419|APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
PSMD11,R-HSA-179419|APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
PSMD12,R-HSA-179419|APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
PSMD14,R-HSA-179419|APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
RPS27A,R-HSA-179419|APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
UBC,R-HSA-179419|APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
UBE2S,R-HSA-179419|APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
ASNS,R-HSA-380994|ATF4 activates genes in response to endoplasmic reticulum  stress
ATF3,R-HSA-380994|ATF4 activates genes in response to endoplasmic reticulum  stress
ATF4,R-HSA-380994|ATF4 activates genes in response to endoplasmic reticulum  stress
ATF6,R-HSA-380994|ATF4 activates genes in response to endoplasmic reticulum  stress
CCL2,R-HSA-380994|ATF4 activates genes in response to endoplasmic reticulum  stress
CEBPB,R-HSA-380994|ATF4 activates genes in response to endoplasmic reticulum  stress
CEBPG,R-HSA-380994|ATF4 activates genes in response to endoplasmic reticulum  stress
DCP2,R-HSA-380994|ATF4 activates genes in response to endoplasmic reticulum  stress
DDIT3,R-HSA-380994|ATF4 activates genes in response to endoplasmic reticulum  stress
DIS3,R-HSA-380994|ATF4 activates genes in response to endoplasmic reticulum  stress
EXOSC4,R-HSA-380994|ATF4 activates genes in response to endoplasmic reticulum  stress
EXOSC8,R-HSA-380994|ATF4 activates genes in response to endoplasmic reticulum  stress
HERPUD1,R-HSA-380994|ATF4 activates genes in response to endoplasmic reticulum  stress
ATF4,R-HSA-381183|ATF6 (ATF6-alpha) activates chaperone genes
ATF6,R-HSA-381183|ATF6 (ATF6-alpha) activates chaperone genes
CALR,R-HSA-381183|ATF6 (ATF6-alpha) activates chaperone genes
DDIT3,R-HSA-381183|ATF6 (ATF6-alpha) activates chaperone genes
HSP90B1,R-HSA-381183|ATF6 (ATF6-alpha) activates chaperone genes
HSPA5,R-HSA-381183|ATF6 (ATF6-alpha) activates chaperone genes
XBP1,R-HSA-381183|ATF6 (ATF6-alpha) activates chaperone genes
ATF4,R-HSA-381033|ATF6 (ATF6-alpha) activates chaperones
ATF6,R-HSA-381033|ATF6 (ATF6-alpha) activates chaperones
CALR,R-HSA-381033|ATF6 (ATF6-alpha) activates chaperones
DDIT3,R-HSA-381033|ATF6 (ATF6-alpha) activates chaperones
HSP90B1,R-HSA-381033|ATF6 (ATF6-alpha) activates chaperones
HSPA5,R-HSA-381033|ATF6 (ATF6-alpha) activates chaperones
XBP1,R-HSA-381033|ATF6 (ATF6-alpha) activates chaperones
ADRM1,R-HSA-450408|AUF1 (hnRNP D0) binds and destabilizes mRNA
EIF4G1,R-HSA-450408|AUF1 (hnRNP D0) binds and destabilizes mRNA
HNRNPD,R-HSA-450408|AUF1 (hnRNP D0) binds and destabilizes mRNA
HSPA1A,R-HSA-450408|AUF1 (hnRNP D0) binds and destabilizes mRNA
HSPA8,R-HSA-450408|AUF1 (hnRNP D0) binds and destabilizes mRNA
HSPB1,R-HSA-450408|AUF1 (hnRNP D0) binds and destabilizes mRNA
PSMC1,R-HSA-450408|AUF1 (hnRNP D0) binds and destabilizes mRNA
PSMC2,R-HSA-450408|AUF1 (hnRNP D0) binds and destabilizes mRNA
PSMD11,R-HSA-450408|AUF1 (hnRNP D0) binds and destabilizes mRNA
PSMD12,R-HSA-450408|AUF1 (hnRNP D0) binds and destabilizes mRNA
PSMD14,R-HSA-450408|AUF1 (hnRNP D0) binds and destabilizes mRNA
RPS27A,R-HSA-450408|AUF1 (hnRNP D0) binds and destabilizes mRNA
UBC,R-HSA-450408|AUF1 (hnRNP D0) binds and destabilizes mRNA
AURKA,R-HSA-8854518|AURKA Activation by TPX2
CCP110,R-HSA-8854518|AURKA Activation by TPX2
CDK1,R-HSA-8854518|AURKA Activation by TPX2
CDK5RAP2,R-HSA-8854518|AURKA Activation by TPX2
CEP192,R-HSA-8854518|AURKA Activation by TPX2
CKAP5,R-HSA-8854518|AURKA Activation by TPX2
CNTRL,R-HSA-8854518|AURKA Activation by TPX2
DCTN3,R-HSA-8854518|AURKA Activation by TPX2
DYNC1H1,R-HSA-8854518|AURKA Activation by TPX2
HAUS2,R-HSA-8854518|AURKA Activation by TPX2
HMMR,R-HSA-8854518|AURKA Activation by TPX2
HSP90AA1,R-HSA-8854518|AURKA Activation by TPX2
NEK2,R-HSA-8854518|AURKA Activation by TPX2
PAFAH1B1,R-HSA-8854518|AURKA Activation by TPX2
PCM1,R-HSA-8854518|AURKA Activation by TPX2
PCNT,R-HSA-8854518|AURKA Activation by TPX2
PLK1,R-HSA-8854518|AURKA Activation by TPX2
PRKAR2B,R-HSA-8854518|AURKA Activation by TPX2
SDCCAG8,R-HSA-8854518|AURKA Activation by TPX2
TPX2,R-HSA-8854518|AURKA Activation by TPX2
TUBA1A,R-HSA-8854518|AURKA Activation by TPX2
TUBB,R-HSA-8854518|AURKA Activation by TPX2
TUBB4B,R-HSA-8854518|AURKA Activation by TPX2
CCND2,R-HSA-9659787|Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects
CCND3,R-HSA-9659787|Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects
CCNE1,R-HSA-9659787|Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects
CCNE2,R-HSA-9659787|Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects
CDK6,R-HSA-9659787|Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects
CDKN1A,R-HSA-9659787|Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects
CDKN1C,R-HSA-9659787|Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects
TFDP2,R-HSA-9659787|Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects
ANAPC16,R-HSA-9687139|Aberrant regulation of mitotic cell cycle due to RB1 defects
CCND2,R-HSA-9687139|Aberrant regulation of mitotic cell cycle due to RB1 defects
CCND3,R-HSA-9687139|Aberrant regulation of mitotic cell cycle due to RB1 defects
CCNE1,R-HSA-9687139|Aberrant regulation of mitotic cell cycle due to RB1 defects
CCNE2,R-HSA-9687139|Aberrant regulation of mitotic cell cycle due to RB1 defects
CDK6,R-HSA-9687139|Aberrant regulation of mitotic cell cycle due to RB1 defects
CDKN1A,R-HSA-9687139|Aberrant regulation of mitotic cell cycle due to RB1 defects
CDKN1C,R-HSA-9687139|Aberrant regulation of mitotic cell cycle due to RB1 defects
TFDP2,R-HSA-9687139|Aberrant regulation of mitotic cell cycle due to RB1 defects
UBE2S,R-HSA-9687139|Aberrant regulation of mitotic cell cycle due to RB1 defects
ADAM10,R-HSA-2122948|Activated NOTCH1 Transmits Signal to the Nucleus
ADAM17,R-HSA-2122948|Activated NOTCH1 Transmits Signal to the Nucleus
DLK1,R-HSA-2122948|Activated NOTCH1 Transmits Signal to the Nucleus
MIB1,R-HSA-2122948|Activated NOTCH1 Transmits Signal to the Nucleus
MIB2,R-HSA-2122948|Activated NOTCH1 Transmits Signal to the Nucleus
NOTCH1,R-HSA-2122948|Activated NOTCH1 Transmits Signal to the Nucleus
NUMB,R-HSA-2122948|Activated NOTCH1 Transmits Signal to the Nucleus
RPS27A,R-HSA-2122948|Activated NOTCH1 Transmits Signal to the Nucleus
UBC,R-HSA-2122948|Activated NOTCH1 Transmits Signal to the Nucleus
CALM1,R-HSA-9619483|Activation of AMPK downstream of NMDARs
TUBA1A,R-HSA-9619483|Activation of AMPK downstream of NMDARs
TUBA1B,R-HSA-9619483|Activation of AMPK downstream of NMDARs
TUBA1C,R-HSA-9619483|Activation of AMPK downstream of NMDARs
TUBA8,R-HSA-9619483|Activation of AMPK downstream of NMDARs
TUBAL3,R-HSA-9619483|Activation of AMPK downstream of NMDARs
TUBB1,R-HSA-9619483|Activation of AMPK downstream of NMDARs
TUBB2A,R-HSA-9619483|Activation of AMPK downstream of NMDARs
TUBB2B,R-HSA-9619483|Activation of AMPK downstream of NMDARs
TUBB3,R-HSA-9619483|Activation of AMPK downstream of NMDARs
TUBB4B,R-HSA-9619483|Activation of AMPK downstream of NMDARs
ADRM1,R-HSA-176814|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
ANAPC16,R-HSA-176814|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
BUB3,R-HSA-176814|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
CCNA2,R-HSA-176814|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
CCNB1,R-HSA-176814|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
CDC20,R-HSA-176814|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
CDK1,R-HSA-176814|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
MAD2L1,R-HSA-176814|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
NEK2,R-HSA-176814|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
PLK1,R-HSA-176814|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
PSMC1,R-HSA-176814|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
PSMC2,R-HSA-176814|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
PSMD11,R-HSA-176814|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
PSMD12,R-HSA-176814|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
PSMD14,R-HSA-176814|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
PTTG1,R-HSA-176814|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
RPS27A,R-HSA-176814|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
UBC,R-HSA-176814|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
UBE2S,R-HSA-176814|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
CDC45,R-HSA-176187|Activation of ATR in response to replication stress
CDC6,R-HSA-176187|Activation of ATR in response to replication stress
CLSPN,R-HSA-176187|Activation of ATR in response to replication stress
DBF4,R-HSA-176187|Activation of ATR in response to replication stress
MCM10,R-HSA-176187|Activation of ATR in response to replication stress
MCM3,R-HSA-176187|Activation of ATR in response to replication stress
MCM4,R-HSA-176187|Activation of ATR in response to replication stress
MCM5,R-HSA-176187|Activation of ATR in response to replication stress
MCM7,R-HSA-176187|Activation of ATR in response to replication stress
RAD9A,R-HSA-176187|Activation of ATR in response to replication stress
RAD9B,R-HSA-176187|Activation of ATR in response to replication stress
RFC4,R-HSA-176187|Activation of ATR in response to replication stress
AKT3,R-HSA-114452|Activation of BH3-only proteins
BBC3,R-HSA-114452|Activation of BH3-only proteins
BMF,R-HSA-114452|Activation of BH3-only proteins
PMAIP1,R-HSA-114452|Activation of BH3-only proteins
TFDP2,R-HSA-114452|Activation of BH3-only proteins
TP53BP2,R-HSA-114452|Activation of BH3-only proteins
GNB3,R-HSA-1296041|Activation of G protein gated Potassium channels
GNG4,R-HSA-1296041|Activation of G protein gated Potassium channels
GNG8,R-HSA-1296041|Activation of G protein gated Potassium channels
KCNJ15,R-HSA-1296041|Activation of G protein gated Potassium channels
KCNJ6,R-HSA-1296041|Activation of G protein gated Potassium channels
ADCY1,R-HSA-991365|Activation of GABAB receptors
ADCY3,R-HSA-991365|Activation of GABAB receptors
ADCY4,R-HSA-991365|Activation of GABAB receptors
ADCY6,R-HSA-991365|Activation of GABAB receptors
GNB3,R-HSA-991365|Activation of GABAB receptors
GNG4,R-HSA-991365|Activation of GABAB receptors
GNG8,R-HSA-991365|Activation of GABAB receptors
KCNJ15,R-HSA-991365|Activation of GABAB receptors
KCNJ6,R-HSA-991365|Activation of GABAB receptors
AJUBA,R-HSA-5619507|Activation of HOX genes during differentiation
CREBBP,R-HSA-5619507|Activation of HOX genes during differentiation
EGR2,R-HSA-5619507|Activation of HOX genes during differentiation
EP300,R-HSA-5619507|Activation of HOX genes during differentiation
HOXA2,R-HSA-5619507|Activation of HOX genes during differentiation
HOXA3,R-HSA-5619507|Activation of HOX genes during differentiation
HOXA4,R-HSA-5619507|Activation of HOX genes during differentiation
HOXB2,R-HSA-5619507|Activation of HOX genes during differentiation
JUN,R-HSA-5619507|Activation of HOX genes during differentiation
KMT2C,R-HSA-5619507|Activation of HOX genes during differentiation
MEIS1,R-HSA-5619507|Activation of HOX genes during differentiation
NCOA3,R-HSA-5619507|Activation of HOX genes during differentiation
PBX1,R-HSA-5619507|Activation of HOX genes during differentiation
POLR2A,R-HSA-5619507|Activation of HOX genes during differentiation
SUZ12,R-HSA-5619507|Activation of HOX genes during differentiation
YY1,R-HSA-5619507|Activation of HOX genes during differentiation
CD14,"R-HSA-936964|Activation of IRF3, IRF7 mediated by TBK1, IKK蔚 (IKBKE)"
IKBKE,"R-HSA-936964|Activation of IRF3, IRF7 mediated by TBK1, IKK蔚 (IKBKE)"
IRF7,"R-HSA-936964|Activation of IRF3, IRF7 mediated by TBK1, IKK蔚 (IKBKE)"
LY96,"R-HSA-936964|Activation of IRF3, IRF7 mediated by TBK1, IKK蔚 (IKBKE)"
OPTN,"R-HSA-936964|Activation of IRF3, IRF7 mediated by TBK1, IKK蔚 (IKBKE)"
PTPN11,"R-HSA-936964|Activation of IRF3, IRF7 mediated by TBK1, IKK蔚 (IKBKE)"
RPS27A,"R-HSA-936964|Activation of IRF3, IRF7 mediated by TBK1, IKK蔚 (IKBKE)"
SARM1,"R-HSA-936964|Activation of IRF3, IRF7 mediated by TBK1, IKK蔚 (IKBKE)"
TANK,"R-HSA-936964|Activation of IRF3, IRF7 mediated by TBK1, IKK蔚 (IKBKE)"
UBC,"R-HSA-936964|Activation of IRF3, IRF7 mediated by TBK1, IKK蔚 (IKBKE)"
COL18A1,R-HSA-1592389|Activation of Matrix Metalloproteinases
CTSK,R-HSA-1592389|Activation of Matrix Metalloproteinases
CTSV,R-HSA-1592389|Activation of Matrix Metalloproteinases
FURIN,R-HSA-1592389|Activation of Matrix Metalloproteinases
MMP11,R-HSA-1592389|Activation of Matrix Metalloproteinases
MMP25,R-HSA-1592389|Activation of Matrix Metalloproteinases
MMP9,R-HSA-1592389|Activation of Matrix Metalloproteinases
PRSS1,R-HSA-1592389|Activation of Matrix Metalloproteinases
TIMP1,R-HSA-1592389|Activation of Matrix Metalloproteinases
ADRM1,R-HSA-1169091|Activation of NF-kappaB in B cells
BCL10,R-HSA-1169091|Activation of NF-kappaB in B cells
MALT1,R-HSA-1169091|Activation of NF-kappaB in B cells
NFKBIA,R-HSA-1169091|Activation of NF-kappaB in B cells
NFKBIE,R-HSA-1169091|Activation of NF-kappaB in B cells
